"";"DATE";"HDenomination";"HMotifs";"CEMotifsDenominations";"NormCEMotifsDenominations"
"Magnesia Ad Maeandrum ";445;0;0;0;NA
"Miletus";455;0;0;0;NA
"Motya";415;1,242453324894;1,79175946922805;0,549306144334055;0,306573596382729
"Naxos";490;0;0;0;NA
"Nymphaeum";415;0,693147180559945;0;0;NA
"Panormus";415;0,562335144618808;1,03972077083992;0,47738562622111;0,459147917027245
"Pharsalus";445;0;0;0;NA
"Phistelia";415;0,636514168294813;1,09861228866811;0,462098120373297;0,420619835714305
"Sardes";470;0;0;0;NA
"Scione";435;0;0;0;NA
"Segesta";470;0,562335144618808;1,03972077083992;0,47738562622111;0,459147917027245
"Selinus";445;0,859967281035505;2,14584175259475;1,28587447155925;0,599240121040784
"Seuthes II";415;0;0;0;NA
"Tauric Chersonesus ";415;0;0;0;NA
"The Sindi";415;0,636514168294813;0,636514168294813;0,462098120373297;0,725982457878719
"Thermae Himerenses";415;0;0;0;NA
"Caulonia";490;0,589401003264681;1,72774841347013;1,58440634561485;0,917035335273511
"Corcyra";455;0;0;0;NA
"Gargara";425;0;0;0;NA
"Mende";470;0;0;0;NA
"Pharcadon";425;0;0;0;NA
"Syria ";435;1,09861228866811;1,09861228866811;0;0
"Thraco-Macedonia";490;0,693147180559945;0,693147180559945;0;0
"Troezen";425;0,693147180559945;0;0;NA
"Achaean League ";435;0,562335144618808;0,562335144618808;0,47738562622111;0,848934360210967
"Arcadian League";470;1,09861228866811;0,636514168294813;0;0
"Astacus";435;0;0;0;NA
"Cnossus";455;0;0;0;NA
"Cos";455;0;0,693147180559945;0,693147180559945;1
"Etruria ";435;0;0;0;NA
"Ionia";435;0;0;0;NA
"Leucas";470;0;2,33837170480357;2,33837170480357;1
"Massalia";470;-2,22044604925031e-16;1,79175946922805;1,79175946922806;1
"Parium";470;0;0;0;NA
"Phocaea";470;0;0;0;NA
"Pordosilene";435;0;0;0;NA
"Scepsis";435;0;0;0;NA
"Solus";435;0;0;0;NA
"Sparadokos";435;0;0;0;NA
"Sybaris";490;0;0;0;NA
"Thespiae";435;0;0;0;NA
"Thourion";435;0,867563228481461;1,242453324894;0,924196240746594;0,74384785506968
"Tricca";435;0,693147180559945;0,693147180559945;0;0
"Aegae";470;0;0;0;NA
"Dicaea";470;0;0;0;NA
"Epirote Republic ";445;0;1,09861228866811;1,09861228866811;1
"Megaris ";490;0;0,693147180559945;0,693147180559945;1
"Paphlagonia ";445;0;0;0;NA
"Phrygia ";445;0;0;0;NA
"Sicilian Naxos";445;0,636514168294813;0,636514168294813;0,462098120373297;0,725982457878719
"Abacaenum";455;0;0;0;NA
"Barca ";490;0;0;0;NA
"Cnidus";470;0;0;0;NA
"Croton and Temesa";455;0;0;0;NA
"Hipana";455;0;0;0;NA
"Siphnos";455;0;0;0;NA
"Assus";470;0;0;0;NA
"Camirus";470;0;0;0;NA
"Caunus";470;0;0;0;NA
"Cyme";470;0;0;0;NA
"Derrones";470;0;0,693147180559945;0,693147180559945;1
"Eretria";490;0;0;0;NA
"Haliartus";490;0;0;0;NA
"Laus";470;0;0;0;NA
"Lete";490;0;0;0;NA
"Poseidion Carpathi ";470;0;0;0;NA
"Sermyle";470;0;0;0;NA
"Teos";470;0;0;0;NA
"Terone";470;0;0;0;NA
"Carthaea";490;0;0;0;NA
"Abydus";490;0;0;0;NA
"Acarnanian League ";470;0;0;0;NA
"Alaesa";330;0;1,09861228866811;1,09861228866811;1
"Apollonia Pontica";405;1,03972077083992;1,38629436111989;0,346573590279973;0,25
"Argos";445;0;0;0;NA
"Byzantium";370;1,52295506753132;1,67698777432242;0,308065413582198;0,183701645473636
"Calchedon";425;1,09861228866811;0,636514168294813;0;0
"Caria ";455;0;0;0;NA
"Carthage";405;0,693147180559945;0,693147180559945;0;0
"Centuripae";415;0;0;0;NA
"Cercinitis";330;0;0,693147180559945;0,693147180559945;1
"Chalcedon";405;0;0;0;NA
"Citium ";330;0;0;0;NA
"Elaea";425;0;0,693147180559945;0,693147180559945;1
"Enna";330;0;0;0;NA
"Ephesus";600;0;0;0;NA
"Epirote Kingdom ";330;0;0;0;NA
"Euboea";415;0;0;0;NA
"Heraclea ";330;0;0;0;NA
"Heraclea Pontica";415;1,56071040904141;0,450561208866305;0;0
"Herbessus";330;0;0;0;NA
"Hipponium";330;0;1,09861228866811;1,09861228866811;1
"Lesbos";490;0;1,05492016798614;1,05492016798614;1
"Locri";330;0;0,693147180559945;0,693147180559945;1
"Macedonia";600;0;0;0;NA
"Metapontum";600;1,03972077083992;0,562335144618808;0;0
"Morgantina";415;0;0;0;NA
"Mytilene";490;0,376770161256437;1,49417513828931;1,35609779014343;0,907589582634893
"Mytistratus";330;0;0;0;NA
"Olbia";435;1,03972077083992;1,03972077083992;0;0
"Olympia";455;0;0;0;NA
"Paeonia ";350;0;0;0;NA
"Panticapaeum";425;0,633039511664468;2,36073609027385;1,72769657860939;0,731846556558115
"Petra";330;0;0;0;NA
"Phaestus";330;0;0;0;NA
"Philippi";350;0,693147180559945;0,693147180559945;0;0
"Phoenicia ";370;0;0;0;NA
"Rhodes";330;0,562335144618808;1,38629436111989;0,823959216501082;0,594360937770434
"Salamis ";455;0;0;0;NA
"Sicily ";600;0;1,38629436111989;1,38629436111989;1
"Sidon ";390;0;0;0;NA
"Sinope";470;0;0;0;NA
"Syracuse";490;0,655481773901393;1,84622021932163;1,31676520552205;0,713222177799501
"Tarentum";600;0;0;0;NA
"Tarsus";390;0,796311640173813;1,94591014905531;1,1495985088815;0,59077676810494
"Thessalian League ";490;0;0;0;NA
"Thrace";415;0;0;0;NA
"Velia";490;0;0;0;NA
"Abdera";600;0;0;0;NA
"Ambracia";350;0,271189373041844;2,45831132968308;2,18712195664124;0,889684691370314
"Amphipolis";390;0;0;0;NA
"Aspendus";445;0;0;0;NA
"Cappadocia ";350;0;0;0;NA
"Carystus";350;0;0;0;NA
"Chersonesus";350;0,796311640173813;1,27703425946614;0,951556457292944;0,745129936992247
"Cierium";350;0;0;0;NA
"Cilicia ";370;0;0,693147180559945;0,693147180559945;1
"Clazomenae";470;0,693147180559945;0;0;NA
"Crithote";350;0;0;0;NA
"Croton";455;0,58492367803944;2,70605340982549;2,28292455630031;0,843636178063287
"Cyprus";490;0;0;0;NA
"Dionysius I and Dionysius II";350;0,955699891112534;1,94591014905531;0,990210257942779;0,508867410154317
"Dyrrhachium";405;0;0,693147180559945;0,693147180559945;1
"Elis";455;0,693147180559945;0,693147180559945;0;0
"Epidaurus";350;0;0;0;NA
"Erythrae";455;0;0;0;NA
"Heraclea";435;0;0;0;NA
"Heraclea Illyricum";350;0;0;0;NA
"Illyria ";350;0;0,693147180559945;0,693147180559945;1
"Istrus";415;0;0;0;NA
"Lampsacus";470;0,500402423538188;0,950270539233234;0,831776616671934;0,875305065590151
"Larissa";470;0;0;0;NA
"Locri Opuntii";370;0,693147180559945;0,693147180559945;0;0
"Lucania ";600;0;0,693147180559945;0,693147180559945;1
"Lycia";600;0;0;0;NA
"Mesma";350;0;1,09861228866811;1,09861228866811;1
"Molossi";350;0;0;0;NA
"Nacona";415;0;0;0;NA
"Olynthus";415;0;0;0;NA
"Orthagoreia";350;0;0;0;NA
"Peparethus";350;0;0;0;NA
"Persia";470;0;0;0;NA
"Pharnaceia";350;0;0,693147180559945;0,693147180559945;1
"Pharos (Lesina)";350;0;0;0;NA
"Phocian League ";455;0,636514168294813;1,09861228866811;0,462098120373297;0,420619835714305
"Phocis ";470;0;0,693147180559945;0,693147180559945;1
"Proconnesus";405;0;0;0;NA
"Sicyon";350;0;0;0;NA
"Sigeum";350;0;0,636514168294813;0,636514168294813;1
"Thebes";600;0,673011667009256;1,6094379124341;0,936426245424844;0,581834339920948
"Theodosia";350;0;0;0;NA
"Thurium";425;1,63850644450423;1,77858608245307;0,750383270225354;0,421898764208481
"Timoleon";350;1,52269992598575;2,61563057702755;1,18535027511646;0,453179545126556
"Zancle-Messana";600;0,918427784993098;1,90728399932138;1,17630126253455;0,616741535583104
"Acanthus";490;0;0;0;NA
"Acragas";490;1,1231308210777;1,82908143690823;1,14873769161886;0,628040757748121
"Adranum";370;0;1,03972077083992;1,03972077083992;1
"Aenus";455;0,376770161256437;1,90615474653985;1,7026713804234;0,893249293381965
"Aetna";370;0;0;0;NA
"Arcadia";370;0,636514168294813;1,09861228866811;0,462098120373297;0,420619835714305
"Athens ";600;1,80371937776887;1,808045719584;0,708939151760927;0,392102447455833
"Bergaeus";370;0;0;0;NA
"Calabria ";415;0;0;0;NA
"Consentia";370;0;0;0;NA
"Corinth";600;1,07513932400537;1,23426786607908;0,94766920540933;0,767798653318108
"Cyrenaica ";490;0;0,693147180559945;0,693147180559945;1
"Cyzicus";600;0;1,96523704938023;1,96523704938023;1
"Entella";415;0;0;0;NA
"Halicarnassus ";370;0,693147180559945;0;0;NA
"Lamia ";370;1,09861228866811;0,636514168294813;0;0
"Maroneia";405;0;0;0;NA
"Neapolis";600;0;0;0;NA
"Oetaei";370;0;0;0;NA
"Opus";370;0;0;0;NA
"Phalanna";370;0;0;0;NA
"Pherae";390;0;0;0;NA
"Phlius";370;0;0;0;NA
"Poseidonia";600;0;0;0;NA
"Pydna";370;0;0;0;NA
"Samos";600;0,693147180559945;0;0;NA
"Stymphalus";370;0;0;0;NA
"Tegea";370;0,636514168294813;1,09861228866811;0,462098120373297;0,420619835714305
"Terina";435;0;2,27186851269656;2,27186851269656;1
"Thasos";490;0;0;0;NA
"Tyre";370;0;0;0;NA
"Zacynthus";370;0;0;0;NA
"Aegina";600;1,49417513828931;0,376770161256437;0,173286795139986;0,459927066841273
"Agyrium";390;0;0;0;NA
"Alexandria Troas ";390;0;0;0;NA
"Aradus";390;0;0;0;NA
"Boeotia";390;0;0;0;NA
"Campania ";405;0;0;0;NA
"Cebren";470;0;0;0;NA
"Chalcidice";415;0;0;0;NA
"Chios";470;0,450561208866305;-2,22044604925031e-16;0;0
"Crete ";415;0;0;0;NA
"Cyrene";455;0;0;0;NA
"Dardanus";490;0;0;0;NA
"Hyria";415;0;0;0;NA
"Mallus";390;0;0;0;NA
"Mycalessus";390;0;0;0;NA
"Nola";390;0;0,693147180559945;0,693147180559945;1
"Orchomenus";390;0,693147180559945;0;0;NA
"Pamphylia ";455;0;0;0;NA
"Pharae";390;0;0;0;NA
"Tanagra";470;0;0;0;NA
"Tenedos";435;1,03972077083992;0,693147180559945;0,346573590279973;0,5
"Teuthrania";390;0;0;0;NA
"Thracian Chersonese ";490;0;0;0;NA
"Amisus";405;0;0;0;NA
"Antandrus";405;0;0;0;NA
"Bithynia ";405;0;0;0;NA
"Boeotian League ";405;1,79175946922805;1,12692879480068;0,346573590279973;0,307538144272259
"Bruttium ";600;0;0,693147180559945;0,693147180559945;1
"Colchis";435;0,636514168294813;0,636514168294813;0,462098120373297;0,725982457878719
"Cumae";445;0;0;0;NA
"Delphi";415;0;0,693147180559945;0,693147180559945;1
"Mesembria";435;0;0;0;NA
"Methymna";470;0,693147180559945;0,693147180559945;0;0
"Pheneos";405;0;0;0;NA
"Propontis ";405;0;0;0;NA
"Rhegium";470;0,636514168294813;0,636514168294813;0,462098120373297;0,725982457878719
"Sinde";405;0;0;0;NA
"Soli";405;0;0;0;NA
"Allifae";415;0;0;0;NA
"Camarina";470;0;0;0;NA
"Catana";445;0;1,09861228866811;1,09861228866811;1
"Eion";600;0,693147180559945;0,693147180559945;0;0
"Eryx";435;0,693147180559945;1,38629436111989;0,693147180559945;0,5
"Gela";470;0,859967281035505;1,79865220625213;0,938684925216624;0,521882397249311
"Heraclea Lucania";415;1,01140426470735;1,56071040904141;0,549306144334055;0,351959044517067
"Heraclea Sintica";435;0;0;0;NA
"Himera";600;0,500402423538188;0,950270539233234;0,831776616671934;0,875305065590151
"Leontinoi";470;0,950270539233234;1,33217904021012;0,659167373200866;0,494803891447576
"Lipara";435;0,348832095843032;1,42706104338072;1,07822894753769;0,755559092961682
"Magnesia Ad Maeandrum ";600;0;0;0;NA
"Miletus";600;1,03972077083992;0;0;NA
"Motya";415;1,242453324894;1,79175946922805;0,549306144334055;0,306573596382729
"Naxos";600;0,636514168294813;0,636514168294813;0;0
"Nymphaeum";415;0,693147180559945;0;0;NA
"Panormus";415;0,562335144618808;1,03972077083992;0,47738562622111;0,459147917027245
"Pharsalus";445;0;0;0;NA
"Phistelia";415;0,636514168294813;1,09861228866811;0,462098120373297;0,420619835714305
"Sardes";600;0,693147180559945;0,693147180559945;0;0
"Scione";435;0;0;0;NA
"Segesta";470;0,562335144618808;1,03972077083992;0,47738562622111;0,459147917027245
"Selinus";600;-2,22044604925031e-16;1,01140426470735;1,01140426470735;1
"Seuthes II";415;0;0;0;NA
"Tauric Chersonesus ";415;0;0;0;NA
"The Sindi";415;0,636514168294813;0,636514168294813;0,462098120373297;0,725982457878719
"Thermae Himerenses";415;0;0;0;NA
"Caulonia";600;0;0;0;NA
"Corcyra";455;0;0;0;NA
"Gargara";425;0;0;0;NA
"Mende";470;0;0;0;NA
"Pharcadon";425;0;0;0;NA
"Syria ";435;1,09861228866811;1,09861228866811;0;0
"Thraco-Macedonia";490;0,693147180559945;0,693147180559945;0;0
"Troezen";425;0,693147180559945;0;0;NA
"Achaean League ";435;0,562335144618808;0,562335144618808;0,47738562622111;0,848934360210967
"Arcadian League";470;1,09861228866811;0,636514168294813;0;0
"Astacus";435;0;0;0;NA
"Cnossus";455;0;0;0;NA
"Cos";455;0;0,693147180559945;0,693147180559945;1
"Etruria ";435;0;0;0;NA
"Ionia";600;1,09861228866811;1,09861228866811;0;0
"Leucas";470;0;2,33837170480357;2,33837170480357;1
"Massalia";470;-2,22044604925031e-16;1,79175946922805;1,79175946922806;1
"Parium";470;0;0;0;NA
"Phocaea";470;0;0;0;NA
"Pordosilene";435;0;0;0;NA
"Scepsis";435;0;0;0;NA
"Solus";435;0;0;0;NA
"Sparadokos";435;0;0;0;NA
"Sybaris";600;1,09861228866811;0;0;NA
"Thespiae";435;0;0;0;NA
"Thourion";435;0,867563228481461;1,242453324894;0,924196240746594;0,74384785506968
"Tricca";435;0,693147180559945;0,693147180559945;0;0
"Aegae";600;0;0;0;NA
"Dicaea";470;0;0;0;NA
"Epirote Republic ";445;0;1,09861228866811;1,09861228866811;1
"Megaris ";490;0;0,693147180559945;0,693147180559945;1
"Paphlagonia ";445;0;0;0;NA
"Phrygia ";445;0;0;0;NA
"Sicilian Naxos";445;0,636514168294813;0,636514168294813;0,462098120373297;0,725982457878719
"Abacaenum";455;0;0;0;NA
"Barca ";490;0;0;0;NA
"Cnidus";470;0;0;0;NA
"Croton and Temesa";455;0;0;0;NA
"Hipana";455;0;0;0;NA
"Siphnos";455;0;0;0;NA
"Assus";470;0;0;0;NA
"Camirus";600;0;0;0;NA
"Caunus";470;0;0;0;NA
"Cyme";470;0;0;0;NA
"Derrones";470;0;0,693147180559945;0,693147180559945;1
"Eretria";600;0;0;0;NA
"Haliartus";600;0;0;0;NA
"Laus";470;0;0;0;NA
"Lete";490;0;0;0;NA
"Poseidion Carpathi ";600;0;0;0;NA
"Sermyle";470;0;0;0;NA
"Teos";470;0;0;0;NA
"Terone";470;0;0;0;NA
"Carthaea";490;0;0;0;NA
"Ceos";600;0;0;0;NA
"Ceus";600;0;0;0;NA
"Croton and Sybaris";600;0;0;0;NA
"Edonian Macedonia ";600;0;0;0;NA
"Lydia";600;1,03972077083992;0,562335144618808;0;0
"Tenos";600;0;0;0;NA
"Thera";600;0;0;0;NA
